code,city,country,name,latitude,longitude
WPU,Puerto Williams,Chile,Guardiamarina Zanartu Airport,-54.9311,-67.6263
USH,Ushuaia,Argentina,Ushuaia Malvinas Argentinas,-54.843278,-68.29575
RGA,Rio Grande,Argentina,Rio Grande,-53.777667,-67.749389
WPR,Porvenir,Chile,Aeropuerto Capitan Fuentes Martinez,-53.2537,-70.319228
PUQ,Punta Arenas,Chile,Carlos Ibanez Del Campo Intl,-53.002642,-70.854586
MPN,Mount Pleasant,Falkland Islands,Mount Pleasant,-51.822777,-58.447222
PSY,Stanley,Falkland Islands,Stanley Airport,-51.685672,-57.777644
RGL,Rio Gallegos,Argentina,Rio Gallegos,-51.608875,-69.312636
RYO,Rio Turbio,Argentina,Rio Turbio,-51.533333,-72.3
ING,Ago,Argentina,Lago Argentino Airport,-50.3361,-72.2486
RZA,Santa Cruz,Argentina,Santa Cruz,-50.01655,-68.579197
ULA,San Julian,Argentina,San Julian,-49.306775,-67.802589
GGS,Gobernador dos Gregores,Argentina,Gobernador Gregores Airport,-48.7831,-70.15
PUD,Puerto Deseado,Argentina,Puerto Deseado,-47.735292,-65.904097
SZS,Stewart Island,New Zealand,Ryans Creek Aerodrome,-46.899693,168.101592
CCH,Chile Chico,Chile,Chile Chico,-46.583341,-71.687405
PMQ,Perito Moreno,Argentina,Perito Moreno,-46.537911,-70.978689
LHS,Las Heras,Argentina,Las Heras Airport,-46.533056,-68.951111
CVI,Caleta Olivia,Argentina,Caleta Olivia,-46.4333,-67.5333
IVC,Invercargill,New Zealand,Invercargill,-46.412408,168.312992
DUD,Dunedin,New Zealand,Dunedin,-45.928055,170.198333
BBA,Balmaceda,Chile,Balmaceda,-45.916058,-71.689475
CRD,Comodoro Rivadavia,Argentina,Comodoro Rivadavia,-45.785347,-67.465508
OLN,Colonia Sarmien,Argentina,Colonia Sarmiento,-45.6,-69.083333
GXQ,Coyhaique,Chile,Teniente Vidal,-45.594211,-72.106133
TEU,Te Anau,New Zealand,Manapouri,-45.533056,167.65
ALR,Alexandra,New Zealand,Alexandra,-45.211666,169.373333
ZQN,Queenstown,New Zealand,Queenstown,-45.021111,168.739167
ARR,Alto Rio Senguerr,Argentina,Alto Rio Senguer Airport,-45.016667,-70.816667
OAM,Oamaru,New Zealand,Oamaru,-44.97,171.081667
WKA,Wanaka,New Zealand,Wanaka,-44.722222,169.245556
MFN,Milford Sound,New Zealand,Milford Sound Airport,-44.67333,167.92333
